seqName,nScans,larmorFreq,rfExFA,rfReFA,rfExTime,rfReTime,repetitionTime,bw,dF,shimming
LarmorInfo,Number of scans,Larmor frequency (MHz),Excitation flip angle (º),Refocusing flip angle (º),RF excitation time (us),RF refocusing time (us),Repetition time (ms),Bandwidth (kHz),Frequency resolution (Hz),Shimming (*1e4)
Larmor,1,3.0743895735244613,90.0,180.0,30.0,60.0,1000.0,50,10,"[-30, -25, 20]"
