seqName,nScans,freqOffset,rfExFA,rfReFA,rfExTime,rfReTime,echoSpacing,preExTime,inversionTime,repetitionTime,fov,dfov,nPoints,etl,acqTime,axes,axesEnable,sweepMode,rdGradTime,rdDephTime,phGradTime,rdPreemphasis,drfPhase,dummyPulses,shimming,parFourierFraction,freqCal
RAREInfo,Number of scans,Larmor frequency offset (kHz),Exitation flip angle (º),Refocusing flip angle (º),RF excitation time (us),RF refocusing time (us),Echo spacing (ms),Preexitation time (ms),Inversion time (ms),Repetition time (ms),FOV (cm),dFOV (mm),"nPoints (rd, ph, sl)",Echo train length,Acquisition time (ms),Axes,Axes enable,"Sweep mode, 0->k20, 1->02k, 2->k2k",Rd gradient time (ms),Rd dephasing time (ms),Ph gradient time (ms),Rd preemphasis,Phase of exciation pulse (º),Dummy pulses,Shimming (*1e4),Partial fourier fraction,Calibrate frequency (0 or 1)
RARE,15,0.0,90,180,33.0,66.0,20.0,0.0,0.0,200.0,[15.  14.1 13.9],[-0.  9. -7.],"[80, 80, 10]",5,4.0,"[0, 2, 1]","[1, 1, 1]",1,4.0,2.0,2.0,1.008,0.0,1,"[-35.0, -30.0, 20.0]",1.0,0
